?,#,Sector,Sector_s,Sub Sector,Name,Marketcap,Price,Volumn,Blockchain,Change 24h,Change 7d,
223,224,Cryptos,Abandoned,,Odyssey OCN,$17.92M,$0.00,"$1,809,910",Ethereum (ERC20),-0.60%,-4.24%,
1022,1024,Cryptos,Abandoned,,EDRCoin EDRC,$329.27K,$0.11,"$30,108",Own Blockchain,-1.18%,-24.04%,
1352,1358,Cryptos,Abandoned,,Motocoin MOTO,$462.33K,$0.02,$2,Own Blockchain,0.02%,-10.32%,
1526,1532,Cryptos,Abandoned,,AllSafe ASAFE,$108.27K,$0.01,$223,Own Blockchain,-2.79%,-50.29%,
1680,1687,Cryptos,Abandoned,,Elysium ELS,$28.36K,$0.00,$37,Own Blockchain,3.25%,12.51%,
1688,1695,Cryptos,Abandoned,,Quebecoin QBC,$25.69K,$0.00,$82,Own Blockchain,-0.01%,-8.85%,
1714,1721,Cryptos,Abandoned,,Luna Coin LUNA,$19.94K,$0.01,$290,Own Blockchain,25.15%,18%,
1743,1750,Cryptos,Abandoned,,Zayedcoin ZYD,$14.78K,$0.00,$4,Own Blockchain,-0.01%,10.45%,
1756,1763,Cryptos,Abandoned,,High Voltage HVCO,$12.72K,$0.01,$45,Own Blockchain,-0.01%,-22.83%,
1759,1766,Cryptos,Abandoned,,Atomic Coin ATOM,$12.04K,$0.00,$0,Own Blockchain,1.12%,85.81%,
1766,1773,Cryptos,Abandoned,,PosEx PEX,$10.79K,$0.00,$4,Own Blockchain,-0.82%,-11.16%,
1772,1778,Cryptos,Abandoned,,BowsCoin BSC,$9.03K,$0.00,$2,Own Blockchain,-0.08%,-14.52%,
1795,1801,Cryptos,Abandoned,,Cabbage CAB,$5.77K,$0.00,$2,Own Blockchain,-0.01%,-8.88%,
1799,1805,Cryptos,Abandoned,,iBank IBANK,$5.27K,$0.00,$24,Own Blockchain,0.12%,-22.22%,
1824,1831,Cryptos,Abandoned,,Save and Gain SANDG,$1.36K,$0.00,$0,Own Blockchain,-0.01%,-3.72%,
1825,1832,Cryptos,Abandoned,,Argus ARGUS,$1.2K,$0.00,$137,Own Blockchain,62.12%,142.35%,
2103,2127,Cryptos,Abandoned,,MobilinkToken MOLK,$0,$0.00,$139,Ethereum (ERC20),-20.93%,-5.99%,
2125,2150,Cryptos,Abandoned,,RabbitCoin RBBT,$0,$0.00,$6,Own Blockchain,5.39%,-6.62%,
2145,2170,Cryptos,Abandoned,,BetaCoin BET,$0,$0.00,$4,Own Blockchain,0.01%,-0.01%,
2146,2171,Cryptos,Abandoned,,Axiom AXIOM,$0,$0.01,$1,Own Blockchain,0.01%,0.01%,
2147,2172,Cryptos,Abandoned,,AvatarCoin AV,$0,$0.08,$2,Own Blockchain,-0.02%,-34.27%,
2148,2173,Cryptos,Abandoned,,Aces ACES,$0,$0.00,$6,Own Blockchain,-0.01%,-8.74%,
2149,2174,Cryptos,Abandoned,,Tellurion TELL,$0,$0.00,$67,Own Blockchain,-0.02%,55.40%,
2155,2180,Cryptos,Abandoned,,Wink WINK,$0,$0.00,$2,Own Blockchain,-0.01%,0.07%,
2167,2192,Cryptos,Abandoned,,Cropcoin CROP,$0,$0.00,$11,Own Blockchain,0.90%,-8.65%,
512,513,Cryptos,Adult,,SpankChain SPANK,$4.48M,$0.01,"$13,932",Ethereum (ERC20),1.44%,4.87%,
1373,1379,Cryptos,Adult,,VIT VIT,$382.74K,$0.00,$46,Ethereum (ERC20),0.94%,-6.43%,
1444,1451,Cryptos,Adult,,MODEL-X-coin MODX,$203.07K,$0.02,$1,Ethereum (ERC20),71.23%,22.55%,
1539,1545,Cryptos,Adult,,TittieCoin TIT,$96.94K,$0.00,$6,Own Blockchain,-0.71%,-10.63%,
1673,1680,Cryptos,Adult,,BunnyToken BUNNY,$30.02K,$0.00,$176,Ethereum (ERC20),36.03%,-11.07%,
1695,1701,Cryptos,Adult,,Titcoin TIT,$24.87K,$0.00,$7,Own Blockchain,-0.61%,11.16%,
1719,1726,Cryptos,Adult,,AdultChain XXX,$19.2K,$0.00,$1,Own Blockchain,-0.71%,-11.70%,
1767,1774,Cryptos,Adult,,Bitcoin Adult BTAD,$10.34K,$0.00,$202,Own Blockchain,-16.95%,-35.98%,
2094,2118,Cryptos,Adult,,Sexcoin SXC,$382.73K,$0.01,$226,Own Blockchain,-0.44%,-13.64%,
2165,2190,Cryptos,Adult,,Animation Vision Cash AVH,$0,$0.00,$1,Own Blockchain,0.01%,7.53%,
26,27,Cryptos,Advertising,,Basic Attention Token BAT,$408.65M,$0.32,"$43,601,737",Ethereum (ERC20),-1.51%,-10.13%,
317,318,Cryptos,Advertising,,AdEx ADX,$10.93M,$0.15,"$198,251",Ethereum (ERC20),-1.05%,-15.70%,
440,441,Cryptos,Advertising,,AdShares ADS,$5.99M,$0.18,"$29,435",Ethereum (ERC20),18.26%,-29.45%,
477,478,Cryptos,Advertising,,adToken ADT,$5.16M,$0.01,"$145,759",Own Blockchain,-0.63%,-8.77%,
756,757,Cryptos,Advertising,,Synereo AMP,$1.57M,$0.02,"$35,867",Omni,-4.52%,5.27%,
787,788,Cryptos,Advertising,,HOQU HQX,$1.33M,$0.01,"$86,031",Ethereum (ERC20),10.81%,27.24%,
792,793,Cryptos,Advertising,,ProChain PRA,$1.32M,$0.03,"$171,950",Own Blockchain,2.44%,-3.83%,
913,915,Cryptos,Advertising,,Adbank ADB,$648.05K,$0.00,"$88,585",Ethereum (ERC20),-6.02%,-27.98%,
992,994,Cryptos,Advertising,,Proton Token PTT,$383.74K,$0.00,"$147,822",Ethereum (ERC20),-2.69%,8.73%,
1027,1029,Cryptos,Advertising,,Bigbom BBO,$314.13K,$0.00,"$293,266",Ethereum (ERC20),-1.04%,-14.19%,
1102,1105,Cryptos,Advertising,,Webcoin WEB,$153.36K,$0.00,"$1,142,598",Waves,-4.36%,-25.17%,
1162,1165,Cryptos,Advertising,,Absolute ABS,$65.7K,$0.01,"$4,611",Own Blockchain,-10.19%,3.98%,
1199,1202,Cryptos,Advertising,,QUINADS QUIN,$33.31K,$0.00,"$24,769",Ethereum (ERC20),-0.96%,-11.47%,
1369,1375,Cryptos,Advertising,,ATMChain ATM,$406.96K,$0.00,$6,Ethereum (ERC20),0.02%,14.81%,
1403,1410,Cryptos,Advertising,,Kind Ads Token KIND,$288.97K,$0.01,$75,Ethereum (ERC20),-15.48%,-23.08%,
1406,1413,Cryptos,Advertising,,RefToken REF,$276.4K,$0.28,$1,Ethereum (ERC20),-2.77%,-0.14%,
1451,1458,Cryptos,Advertising,,AdCoin ACC,$193.86K,$0.01,$46,Own Blockchain,25.31%,-45.11%,
1457,1464,Cryptos,Advertising,,CDX Network CDX,$183.15K,$0.01,$430,Own Blockchain,-3.45%,-30.59%,
1475,1481,Cryptos,Advertising,,ClearCoin XCLR,$162.47K,$0.00,$39,Ethereum (ERC20),4.45%,-38.05%,
1531,1537,Cryptos,Advertising,,Adzcoin ADZ,$105.05K,$0.00,$203,Own Blockchain,-18.78%,18.68%,
1602,1609,Cryptos,Advertising,,Viuly VIU,$59.4K,$0.00,$23,Ethereum (ERC20),-3.48%,-10.63%,
1893,1905,Cryptos,Advertising,,Atlas Protocol ATP,$0,$0.02,"$715,056",Own Blockchain,-1.71%,4.26%,
1930,1943,Cryptos,Advertising,,FNB Protocol FNB,$0,$0.21,"$213,159",Ethereum (ERC20),-1.01%,-13.60%,
2013,2031,Cryptos,Advertising,,Content and AD Network CAN,$0,$0.00,"$19,356",Own Blockchain,15.13%,-27.62%,
2027,2047,Cryptos,Advertising,,HOT Token HOT,$0,$0.01,"$11,346",Stellar,1.27%,19.67%,
2119,2144,Cryptos,Advertising,,Bidooh DOOH Token DOOH,$0,$0.00,$40,Ethereum (ERC20),-3.56%,-54.08%,
2171,2196,Cryptos,Advertising,,WeToken WT,$0,$0.00,"$2,232",Ethereum (ERC223),0.79%,-15.80%,
2174,2199,Cryptos,Advertising,,Ultra Salescloud UST,$0,$0.00,$7,Ethereum (ERC20),0.01%,0.02%,
2196,2222,Cryptos,Advertising,,Hellenic Node HN,$0,$0.00,"$1,295",Own Blockchain,0.01%,0.01%,
354,355,Cryptos,Agriculture,,AgaveCoin AGVC,$8.84M,$0.02,"$41,860",Ethereum (ERC20),-1.34%,-10%,
987,989,Cryptos,Agriculture,,Ifoods Chain IFOOD,$450.94K,$0.00,"$5,879",Ethereum (ERC20),1.43%,-42.78%,
1209,1212,Cryptos,Agriculture,,Agrolot AGLT,$26.97K,$0.00,$538,Ethereum (ERC20),-19.33%,164.03%,
1243,1247,Cryptos,Agriculture,,Ecobit ECOB,$9.28M,$0.02,$2,NEM,0.01%,5.91%,
1931,1944,Cryptos,Agriculture,,Eva Cash EVC,$0,$0.03,"$210,955",Ethereum (ERC20),-6.78%,-60.53%,
2112,2137,Cryptos,Agriculture,,CottonCoin COTN,$0,$0.00,$49,Own Blockchain,65.06%,22.45%,
171,172,Cryptos,AI,,Cortex CTXC,$26.72M,$0.18,"$6,327,938",Ethereum (ERC20),-1.28%,-16.62%,
234,235,Cryptos,AI,,Matrix AI Network MAN,$16.2M,$0.11,"$668,337",Ethereum (ERC20),-1.48%,1.91%,
288,289,Cryptos,AI,,DATA DTA,$12.66M,$0.00,"$2,282,491",Ethereum (ERC20),8.40%,1.34%,
313,314,Cryptos,AI,,Swarm SWM,$11.25M,$0.14,"$1,322,021",Ethereum (ERC20),-3.56%,-21.99%,
377,378,Cryptos,AI,,Ocean Protocol OCEAN,$8.18M,$0.03,"$768,337",Ethereum (ERC20),-2.18%,1.01%,
421,422,Cryptos,AI,,Sentinel Protocol UPP,$6.55M,$0.02,"$1,240,477",Ethereum (ERC20),-1.40%,29.91%,
630,632,Cryptos,AI,,Peculium PCL,$2.72M,$0.00,"$144,443",Ethereum (ERC20),-2.48%,-11.50%,
636,638,Cryptos,AI,,Effect.AI EFX,$2.66M,$0.01,"$2,034",NEO,3.20%,-14.45%,
644,646,Cryptos,AI,,Kambria KAT,$2.57M,$0.00,"$80,662",Ethereum (ERC20),-1.15%,-28.27%,
657,659,Cryptos,AI,,Neurotoken NTK,$2.41M,$0.03,"$21,950",Ethereum (ERC20),-0.58%,-8.49%,
668,1266,Cryptos,AI,,Consensus SEN,$2.24M,$0.00,$265,Own Blockchain,-10.70%,-16.16%,
731,732,Cryptos,AI,,Neurochain NCC,$1.75M,$0.01,"$41,519",Ethereum (ERC20),4.34%,-4.10%,
742,743,Cryptos,AI,,Ubex UBEX,$1.67M,$0.00,"$354,792",Ethereum (ERC20),1.41%,-0.44%,
758,759,Cryptos,AI,,Skychain SKCH,$1.56M,$0.21,"$5,398",Ethereum (ERC20),7.32%,-11.11%,
778,779,Cryptos,AI,,VisionX VNX,$1.39M,$0.00,"$208,156",Ethereum (ERC20),-6.55%,-15.59%,
819,821,Cryptos,AI,,DATx DATX,$1.13M,$0.00,"$183,747",Own Blockchain,11.01%,-6.92%,
945,947,Cryptos,AI,,AICHAIN AIT,$549.13K,$0.00,"$78,695",Own Blockchain,-26.40%,-29.15%,
1062,1063,Cryptos,AI,,AdHive ADH,$220.98K,$0.00,$843,Ethereum (ERC20),-1.04%,-28.05%,
1263,1268,Cryptos,AI,,Lisk Machine Learning LML,$2.08M,$0.02,$319,Ethereum (ERC20),4.85%,13.20%,
1957,1970,Cryptos,AI,,ThoreNext THX,$0,$19.23,"$91,970",Ethereum (ERC20),96.03%,56.17%,
2084,2107,Cryptos,AI,,ORS Group ORS,$0,$0.02,$422,Ethereum (ERC20),-0.09%,1.94%,
486,487,Cryptos,art,marketplace,Maecenas ART,$4.89M,$0.10,"$2,667",Ethereum (ERC20),-1.08%,-20.29%,
865,867,Cryptos,Art,,ArtByte ABY,$851.93K,$0.00,"$7,069",Own Blockchain,-3.86%,-6.36%,
1073,1074,Cryptos,Art,authentication,Freyrchain FREC,$202.2K,$0.00,$648,Ethereum (ERC20),-5.08%,-22.90%,
35,36,Cryptos,Business-Service,,Aurora AOA,$246.69M,$0.04,"$1,426,525",Ethereum (ERC20),15.22%,23.61%,
139,140,Cryptos,Business-Service,,REPO REPO,$36.02M,$0.33,"$36,625",Stellar,-0.18%,36.20%,
142,143,Cryptos,Business-Service,,Japan Content Token JCT,$35.6M,$0.12,"$145,073",Ethereum (ERC20),-8.07%,9%,
155,156,Cryptos,Business-Service,,RIF Token RIF,$31.16M,$0.07,"$110,949",Ethereum (ERC20),0.01%,-13.07%,
178,179,Cryptos,Business-Service,,ProximaX XPX,$25.3M,$0.00,"$5,959,602",NEM,2.34%,-10.62%,
179,180,Cryptos,Business-Service,,Cosmo Coin COSM,$25.03M,$0.04,"$11,475,130",Ethereum (ERC20),-1.90%,0.64%,
180,181,Cryptos,Business-Service,,INO COIN INO,$24.67M,$1.23,"$1,569,206",Ethereum (ERC20),2.20%,-15.84%,
236,237,Cryptos,Business-Service,,BitKan KAN,$16.47M,$0.00,"$1,913,848",Ethereum (ERC20),-1.30%,-24.13%,
242,243,Cryptos,supplychain & logistics,anti-counterfeit,Tael WABI,$16.15M,$0.29,"$926,070",Ethereum (ERC20),-2.94%,-12.24%,
268,269,Cryptos,Business-Service,,PumaPay PMA,$13.94M,$0.00,"$466,169",Ethereum (ERC223),-2.40%,1.59%,
311,312,Cryptos,Business-Service,,EDC Blockchain EDC,$11.29M,$0.00,"$342,530",Own Blockchain,-0.29%,-18.20%,
312,313,Cryptos,Business-Service,,Insolar INS,$11.25M,$0.35,"$872,894",Ethereum (ERC20),-3.44%,-6.03%,
346,347,Cryptos,Business-Service,,CoinUs CNUS,$9.46M,$0.03,"$206,904",Ethereum (ERC20),-3.33%,-6.07%,
381,382,Cryptos,Business-Service,,Blue Whale Token BWX,$7.87M,$0.13,"$288,334",Ethereum (ERC20),-22.22%,-17.68%,
457,458,Cryptos,Business-Service,,BOLT BOLT,$5.61M,$0.02,"$2,490,704",Ethereum (ERC20),1.62%,-1.54%,
465,466,Cryptos,Business-Service,,LTO Network LTO,$5.39M,$0.13,"$2,042,720",Ethereum (ERC20),12.65%,8.82%,
471,472,Cryptos,Business-Service,,LoyalCoin LYL,$5.27M,$0.00,"$341,954",NEM,-5.85%,11.23%,
499,500,Cryptos,Business-Service,,Morpheus Network MRPH,$4.72M,$0.15,"$586,779",Ethereum (ERC20),-2.60%,-16.54%,
508,509,Cryptos,Business-Service,,Ultiledger ULT,$4.52M,$0.01,"$621,019",Ethereum (ERC20),-4.10%,-11.81%,
536,538,Cryptos,Business-Service,,Cashbery Coin CBC,$4.12M,$0.06,"$7,859",Own Blockchain,1.59%,-0.93%,
539,541,Cryptos,Business-Service,,Zebi ZCO,$4.04M,$0.01,"$1,491,431",Own Blockchain,0.05%,-7.88%,
588,590,Cryptos,Business-Service,,MIR COIN MIR,$3.41M,$0.01,"$425,823",Own Blockchain,9%,7.37%,
603,605,Cryptos,Business-Service,,Merculet MVP,$3.04M,$0.00,"$626,520",Ethereum (ERC20),-3.72%,-28.94%,
621,623,Cryptos,Business-Service,,NeoWorld Cash NASH,$2.78M,$0.00,"$400,142",Ethereum (ERC223),-1.13%,-3.83%,
656,658,Cryptos,Business-Service,,Hiveterminal Token HVN,$2.42M,$0.01,"$63,972",Ethereum (ERC20),3.03%,-16.30%,
816,818,Cryptos,Business-Service,,Linfinity LFC,$1.16M,$0.00,"$348,383",Ethereum (ERC20),-3.14%,-1.38%,
844,846,Cryptos,Business-Service,,OneLedger OLT,$959.11K,$0.00,"$37,943",Ethereum (ERC20),4.34%,2.57%,
845,847,Cryptos,Business-Service,,DPRating RATING,$951.97K,$0.00,"$43,612",Ethereum (ERC20),-4.84%,-8%,
853,855,Cryptos,Business-Service,,Sentinel Chain SENC,$899.18K,$0.00,"$10,873",Own Blockchain,-1.09%,-1.49%,
864,866,Cryptos,Business-Service,,Niobium Coin NBC,$861.76K,$0.02,"$6,315",Ethereum (ERC20),0.23%,-11.56%,
886,888,Cryptos,Business-Service,,PikcioChain PKC,$735.29K,$0.02,"$1,843",NEO,1.64%,73.55%,
903,905,Cryptos,Business-Service,,Qredit XQR,$697.95K,$0.00,"$2,566",Own Blockchain,-3.26%,-30.35%,
962,964,Cryptos,Business-Service,,Commercium CMM,$470.83K,$0.01,"$16,788",Own Blockchain,-3%,-36.17%,
1015,1017,Cryptos,Business-Service,,Maincoin MNC,$359.98K,$0.00,"$62,727",Ethereum (ERC20),10.32%,-8.06%,
1041,1042,Cryptos,Business-Service,,SignatureChain SICA,$281.12K,$0.00,$708,Waves,9.75%,-2.57%,
1071,1072,Cryptos,Business-Service,,NetKoin NTK,$206.09K,$0.00,"$1,356",Ethereum (ERC20),-0.16%,6.58%,
1081,1083,Cryptos,Business-Service,,Bob’s Repair BOB,$189.7K,$0.00,"$385,036",Ethereum (ERC20),-5.54%,-9.93%,
1085,1087,Cryptos,Business-Service,,Global Awards Token GAT,$183.88K,$0.00,$715,Ethereum (ERC20),-48.95%,-69.23%,
1126,1129,Cryptos,Business-Service,,Engagement Token ENGT,$121.93K,$0.00,"$1,627",Ethereum (ERC20),10%,-2.03%,
1176,1179,Cryptos,Business-Service,,WITChain WIT,$53.74K,$0.00,"$39,776",Ethereum (ERC20),0.28%,-22.73%,
1205,1208,Cryptos,Business-Service,,BitCoen BEN,$28.83K,$0.00,$726,Own Blockchain,-1.91%,-37.15%,
1208,1211,Cryptos,Business-Service,,LogisCoin LGS,$27.54K,$0.01,"$1,250",Own Blockchain,-7.27%,-14.86%,
1249,1253,Cryptos,Business-Service,,Aston ATX,$3.55M,$0.00,$86,Ethereum (ERC20),-20.57%,-28.81%,
1332,1338,Cryptos,Business-Service,,Ivy IVY,$620.83K,$0.00,$388,Ethereum (ERC20),0.02%,-8.92%,
1385,1390,Cryptos,Business-Service,,IP Exchange IPSX,$343.02K,$0.00,$68,Ethereum (ERC20),22.12%,32.14%,
1439,1447,Cryptos,Business-Service,,Centauri CTX,$213.33K,$0.01,$215,Own Blockchain,0.74%,-23.34%,
1461,1468,Cryptos,Business-Service,,Fabric Token FT,$179.84K,$0.01,$216,Ethereum (ERC20),33.34%,8.16%,
1495,1502,Cryptos,Business-Service,,Shping SHPING,$141.45K,$0.00,$18,Ethereum (ERC20),-10.33%,-28.66%,
1624,1632,Cryptos,Business-Service,,ZINC ZINC,$47.42K,$0.01,$27,Ethereum (ERC20),-0.01%,4.61%,
1631,1638,Cryptos,Business-Service,,SAKECOIN SAKE,$44.99K,$0.00,$0,Ethereum (ERC223),-5.39%,-34.18%,
1661,1668,Cryptos,Business-Service,,Castle CSTL,$34.34K,$0.00,$15,Own Blockchain,13.03%,-27.55%,
1713,1720,Cryptos,Business-Service,,Mero MERO,$20.12K,$0.00,$4,Own Blockchain,7.13%,-8.23%,
1750,1757,Cryptos,Business-Service,,Printex PRTX,$13.53K,$0.00,$0,Own Blockchain,48.93%,-37.57%,
1788,1794,Cryptos,Business-Service,,UralsCoin URALS,$6.34K,$0.00,$2,Own Blockchain,-49.33%,3.75%,
1897,1909,Cryptos,Business-Service,,YOU COIN YOU,$0,$0.02,"$657,216",Ethereum (ERC20),-2.07%,-10.48%,
1950,1964,Cryptos,Business-Service,,Globalvillage Ecosystem GVE,$0,$0.00,"$106,816",Ethereum (ERC20),21.43%,9.76%,
1977,1992,Cryptos,Business-Service,,RedFOX Labs RFOX,$0,$0.04,"$59,334",Own Blockchain,-13%,-38.60%,
1990,2006,Cryptos,Business-Service,,CENTERCOIN CENT,$0,$0.01,"$40,372",Own Blockchain,1.48%,-2.56%,
2012,2030,Cryptos,Business-Service,,Helper Search Token HSN,$0,$0.00,"$20,157",Ethereum (ERC20),1.21%,-1.62%,
2019,2037,Cryptos,Business-Service,,LemoChain LEMO,$0,$0.01,"$17,834",Ethereum (ERC20),-17.16%,-25.80%,
2021,2040,Cryptos,Business-Service,,Fast Access Blockchain FAB,$0,$0.10,"$15,692",Own Blockchain,3.27%,-4.97%,
2026,2046,Cryptos,Business-Service,,Ti-Value TV,$0,$0.04,"$12,287",Own Blockchain,10.24%,-0.83%,
2040,2061,Cryptos,Business-Service,,Commerce Data Connection CDC,$0,$0.00,"$8,453",Ethereum (ERC20),-6.60%,-36.59%,
2041,2062,Cryptos,Business-Service,,OOOBTC TOKEN OBX,$0,$0.01,"$8,274",Ethereum (ERC20),-7.23%,25.94%,
2070,2093,Cryptos,Business-Service,,Hercules HERC,$0,$0.01,"$1,002",Ethereum (ERC20),-1.15%,-12.33%,
2099,2123,Cryptos,Business-Service,,BitStash STASH,$0,$0.00,$180,Ethereum (ERC20),-0.10%,-49.85%,
2101,2125,Cryptos,Business-Service,,YUKI YUKI,$0,$0.00,$164,Ethereum (ERC223),75.48%,-47.75%,
2102,2126,Cryptos,Business-Service,,Rocket Pool RPL,$0,$0.24,$160,Ethereum (ERC20),-23.50%,-21.24%,
2106,2130,Cryptos,Business-Service,,Locus Chain LOCUS,$0,$0.02,$126,Ethereum (ERC20),-2.83%,-6.20%,
2192,2218,Cryptos,Business-Service,,Delizia DELIZ,$0,$0.00,$1,Own Blockchain,0.02%,23.65%,
518,519,Cryptos,Cannabis,,Paragon PRG,$4.36M,$0.07,"$29,097",Ethereum (ERC20),1.83%,-4.23%,
612,614,Cryptos,Cannabis,,PotCoin POT,$2.93M,$0.01,"$2,268",Own Blockchain,3.53%,-6.13%,
806,807,Cryptos,Cannabis,,HempCoin THC,$1.2M,$0.00,"$20,965",Own Blockchain,23.36%,-36.80%,
1072,1073,Cryptos,Cannabis,,Tokes TKS,$205.54K,$0.06,"$4,284",Waves,-24.98%,-37.92%,
